qa_id,trainer_id,question,answer,tags,embedding,question_type,difficulty_level,answer_style,source,updated_at,is_public
1,T001,"아침 운동이 더 효과적인가요?","아침 운동은 신진대사를 빠르게 올려 하루 종일 활동적인 상태를 유지할 수 있게 해줍니다.","운동시간, 아침운동","[0.12, 0.33, 0.45]","운동","입문자","논리적","트레이너 직접","2025-05-18",TRUE
2,T002,"탄수화물은 무조건 줄여야 하나요?","탄수화물은 몸에 필요한 에너지원이므로, 무조건 줄이기보다는 건강한 탄수화물로 대체하는 게 좋습니다.","식단, 탄수화물","[0.67, 0.48, 0.39]","식단","입문자","과학적","트레이너 직접","2025-05-17",TRUE
3,T001,"운동 후 단백질은 언제 먹어야 하나요?","운동 후 30분 이내에 단백질을 섭취하면 근육 회복에 가장 효과적입니다.","운동, 단백질","[0.44, 0.76, 0.21]","식단","중급자","간결함","인터뷰","2025-05-15",TRUE
4,T003,"홈트만으로도 몸 만들 수 있을까요?","꾸준하게 하면 홈트도 충분히 효과 있어요. 체중 운동 위주로 구성해드릴게요.","홈트, 운동루틴","[0.34, 0.55, 0.22]","운동","입문자","격려형","트레이너 직접","2025-05-14",TRUE
5,T001,"동기부여가 안될 때 어떻게 하나요?","작은 목표부터 세우고, 성취감을 쌓아가며 동기부여를 유지합니다. 자신을 칭찬하는 것도 중요해요.","동기부여, 멘탈","[0.90, 0.12, 0.44]","동기부여","입문자","감성적","인스타","2025-05-10",TRUE
6,T004,"식단 짤 때 탄단지 비율은 어떻게 해야 하나요?","기본적으로 40:30:30을 기준으로 시작하고, 목표에 따라 조절이 필요합니다.","식단, 탄단지","[0.71, 0.64, 0.23]","식단","중급자","논리적","트레이너 직접","2025-05-18",TRUE
7,T002,"근육통이 심하면 운동을 쉬어야 하나요?","통증이 심하다면 휴식이 필요하지만, 가벼운 스트레칭이나 회복 운동은 도움이 됩니다.","운동, 회복","[0.38, 0.92, 0.51]","운동","중급자","과학적","인터뷰","2025-05-13",TRUE
8,T003,"단백질 보충제는 꼭 먹어야 하나요?","식사에서 충분히 섭취 가능하면 굳이 보충제를 먹을 필요는 없습니다.","단백질, 보충제","[0.42, 0.81, 0.17]","식단","입문자","중립적","트레이너 직접","2025-05-16",TRUE
9,T004,"운동 전 스트레칭은 왜 중요한가요?","스트레칭은 부상을 예방하고 운동 효율을 높여줍니다. 반드시 해주세요!","운동, 스트레칭","[0.11, 0.45, 0.67]","운동","입문자","강조형","트레이너 직접","2025-05-12",TRUE
10,T001,"벌크업 식단은 어떻게 짜야 하나요?","고단백, 고탄수화물 위주로 하루 5끼 이상 구성하면 좋습니다.","식단, 벌크업","[0.59, 0.37, 0.74]","식단","상급자","실전형","인터뷰","2025-05-11",TRUE
